Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,date,Valuation,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%
2276,Mohamed Simakan,FRA,DF,RB Leipzig,Bundesliga,22.0,2000,12,11,824,9.2,1.0,0.76,0.22,28.6,0.14,0.5,13.7,0.0,0.0,0.0,61.5,73.7,83.5,1054.8,368.8,28.9,31.0,93.3,26.7,30.2,88.5,4.89,9.24,52.9,0.11,0.22,5.11,0.76,0.11,5.65,73.7,67.4,6.09,1.09,0.11,,0.65,0.43,0.0,0.0,0.0,0.0,,,,,,,5.0,,61.5,0.22,,,1.74,0.98,0.65,0.0,0.0,0.11,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.87,0.76,0.22,0.11,0.65,1.2,54.5,0.54,,,,,,,1.2,0.22,,0.98,1.09,2.17,3.8,0.0,85.2,6.63,30.8,44.2,10.9,1.09,85.2,,,,,,51.1,222.9,120.1,0.87,1.2,0.0,0.98,0.22,,60.0,,3.7,0.0,0.0,0.0,1.41,1.52,0.11,0.43,0.87,0.0,0.11,0.0,4.89,1.74,1.52,53.3,2022-11-09,28000000.0,1.74,0.33,18.8,1.2,68.8
2283,Wilfried Singo,CIV,DF,Torino,Serie A,22.0,2000,16,11,1071,11.9,0.0,1.18,0.25,21.4,0.0,0.0,15.5,0.0,0.0,0.0,39.2,52.3,74.9,667.5,207.6,18.3,21.5,85.2,16.8,22.5,74.6,3.11,5.63,55.2,0.08,0.92,2.1,1.01,0.34,3.53,52.3,41.8,10.0,1.09,0.08,,0.34,2.1,0.0,0.0,0.0,0.0,,,,,,,8.91,,39.2,0.5,,,0.34,1.6,1.09,0.0,0.08,0.42,0.0,0.0,0.25,0.17,0.0,0.0,0.08,0.0,0.0,1.26,0.84,0.76,0.34,0.17,0.59,0.76,77.8,0.17,,,,,,,0.76,0.0,,0.76,0.5,1.76,1.93,0.0,62.4,2.35,14.0,29.7,19.3,2.18,62.4,,,,,,31.0,160.8,75.5,2.27,1.43,0.42,1.18,0.92,,37.1,,4.12,0.25,0.0,0.0,1.85,1.51,0.0,2.1,0.84,0.0,0.0,0.0,5.04,2.1,1.09,65.8,2022-11-11,14000000.0,1.85,0.84,45.5,0.59,31.8
2287,Hugo Siquet,BEL,DF,Freiburg,Bundesliga,20.0,2002,2,0,17,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,35.0,71.4,295.0,220.0,20.0,20.0,100.0,5.0,15.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,10.0,,25.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,100.0,0.0,,,,,,,5.0,0.0,,5.0,0.0,10.0,0.0,0.0,55.0,10.0,20.0,35.0,0.0,0.0,55.0,,,,,,15.0,40.0,0.0,0.0,0.0,0.0,5.0,5.0,,25.0,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-11-09,3000000.0,0.0,0.0,0.0,0.0,0.0
2296,Robert Skov,DEN,DF,Hoffenheim,Bundesliga,26.0,1996,16,14,1051,11.7,3.0,2.91,0.85,29.4,0.03,0.1,22.4,0.6,0.17,0.17,34.9,49.5,70.5,618.8,210.8,15.9,18.5,86.1,15.1,20.9,72.5,3.25,7.44,43.7,0.17,1.45,2.39,1.54,0.6,3.5,49.5,36.6,12.9,1.28,0.09,,0.6,4.87,1.88,0.77,0.51,0.09,,,,,,,9.74,,34.9,0.0,,,1.54,3.16,2.22,0.26,0.09,0.43,0.17,0.0,0.26,0.17,0.0,0.0,0.09,0.0,0.0,1.2,0.77,0.85,0.34,0.0,0.6,1.37,43.8,0.77,,,,,,,1.54,0.51,,1.03,0.68,1.88,1.37,0.09,61.4,2.05,13.4,25.6,23.0,2.99,61.2,,,,,,32.1,167.5,81.6,3.08,1.71,0.94,1.45,0.68,,33.8,,7.01,0.09,0.0,0.0,1.2,1.54,0.0,4.87,0.77,0.0,0.0,0.0,4.96,0.51,0.77,40.0,2022-11-09,9000000.0,1.79,0.43,23.8,1.11,61.9
2300,Chris Smalling,ENG,DF,Roma,Serie A,33.0,1989,22,21,1953,21.7,3.0,0.55,0.14,25.0,0.25,1.0,7.9,0.0,0.0,0.0,35.0,40.4,86.6,662.2,220.5,10.6,11.6,90.9,21.2,23.2,91.1,2.95,4.52,65.3,0.0,0.09,0.97,0.14,0.0,1.24,40.4,39.4,0.88,0.83,0.05,,0.09,0.0,0.0,0.0,0.0,0.0,,,,,,,0.05,,35.0,0.09,,,0.23,0.28,0.23,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.51,0.55,0.32,0.0,0.37,0.69,53.3,0.32,,,,,,,1.34,0.97,,0.37,1.52,2.4,4.38,0.0,50.6,7.93,30.8,18.6,1.57,0.92,50.6,,,,,,25.4,110.8,58.0,0.18,0.28,0.0,0.37,0.09,,30.0,,0.28,0.18,0.0,0.0,0.6,0.55,0.0,0.0,0.51,0.0,0.0,0.0,4.33,1.66,0.74,69.2,2022-11-11,8000000.0,0.09,0.05,50.0,0.0,0.0
2301,Adam Smith,ENG,DF,Bournemouth,Premier League,31.0,1991,21,21,1805,20.1,0.0,0.15,0.05,33.3,0.0,0.0,12.5,0.0,0.0,0.0,31.6,41.1,77.0,538.8,233.7,15.4,17.4,88.8,12.8,15.8,81.1,2.89,6.27,46.0,0.05,0.35,2.49,0.85,0.5,2.99,41.1,32.3,8.71,0.75,0.0,,0.1,1.24,0.0,0.0,0.0,0.0,,,,,,,7.96,,31.6,0.05,,,0.85,0.7,0.6,0.05,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,1.79,1.04,1.0,0.65,0.15,1.04,2.04,51.2,1.0,,,,,,,1.14,0.45,,0.7,0.7,2.49,2.19,0.0,49.1,2.94,19.8,21.3,8.81,0.45,49.1,,,,,,21.0,92.2,47.9,0.8,0.7,0.05,0.8,0.15,,25.4,,0.9,0.35,0.0,0.0,1.04,0.65,0.0,1.24,1.04,0.0,0.0,0.0,4.03,0.7,1.29,35.0,2023-04-05,200000.0,0.95,0.2,21.1,0.6,63.2
2306,Danilo Soares,BRA,DF,Bochum,Bundesliga,31.0,1991,14,14,1130,12.6,0.0,0.08,0.0,0.0,0.0,0.0,28.2,0.0,0.0,0.0,37.1,50.6,73.3,655.3,225.4,16.3,19.3,84.8,15.9,21.0,75.5,4.05,7.46,54.3,0.0,0.4,3.49,0.63,0.08,4.44,50.6,38.9,11.2,0.48,0.08,,0.0,0.79,0.08,0.0,0.08,0.0,,,,,,,10.6,,37.1,0.48,,,0.95,1.51,1.35,0.08,0.0,0.0,0.08,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,3.73,2.38,2.06,1.11,0.56,2.14,3.1,69.2,0.95,,,,,,,1.83,0.16,,1.67,1.19,4.92,2.38,0.08,62.4,3.81,22.2,32.7,8.33,0.16,62.4,,,,,,22.2,96.6,36.6,0.71,0.87,0.08,0.87,0.71,,24.3,,0.87,0.32,0.0,0.0,1.43,1.19,0.0,0.79,2.38,0.0,0.08,0.0,8.33,1.51,0.95,61.3,2022-11-09,2200000.0,0.87,0.4,45.5,0.48,54.5
2313,Nikola Soldo,CRO,DF,Köln,Bundesliga,22.0,2001,6,5,503,5.6,0.0,1.07,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,39.3,51.3,76.7,821.3,210.7,8.75,10.9,80.3,25.5,28.0,91.1,5.0,10.5,47.5,0.0,0.18,1.61,0.18,0.0,2.14,51.3,48.8,2.14,1.96,0.0,,0.36,0.18,0.0,0.0,0.0,0.0,,,,,,,0.18,,39.3,0.36,,,1.07,0.71,0.54,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,1.07,1.07,0.71,0.0,0.71,1.25,57.1,0.54,,,,,,,1.25,1.07,,0.18,1.07,2.86,4.82,0.0,62.3,7.5,33.6,27.1,2.32,1.25,62.3,,,,,,33.4,165.0,97.0,0.54,0.36,0.0,0.0,0.0,,37.1,,0.0,0.18,0.0,0.0,0.89,0.36,0.0,0.18,1.07,0.0,0.0,0.0,6.25,1.25,1.43,46.7,2022-11-09,1500000.0,0.18,0.0,0.0,0.18,100.0
2320,Brandon Soppy,FRA,DF,Udinese,Serie A,20.0,2002,1,1,90,1.0,0.0,2.0,1.0,50.0,0.0,0.0,18.5,0.0,0.0,0.0,22.0,32.0,68.8,322.0,140.0,13.0,14.0,92.9,7.0,10.0,70.0,1.0,6.0,16.7,0.0,2.0,2.0,1.0,0.0,4.0,32.0,29.0,2.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,2.0,,22.0,1.0,,,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4.0,0.0,,4.0,1.0,2.0,1.0,0.0,48.0,2.0,8.0,19.0,21.0,3.0,48.0,,,,,,33.0,272.0,137.0,4.0,4.0,0.0,0.0,0.0,,27.0,,4.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,100.0,2022-11-11,10000000.0,6.0,1.0,16.7,4.0,66.7
2321,Brandon Soppy,FRA,DF,Atalanta,Serie A,20.0,2002,10,7,523,5.8,0.0,0.86,0.17,20.0,0.0,0.0,21.2,0.0,0.0,0.0,32.9,42.6,77.3,485.5,208.6,18.3,20.3,89.8,12.1,16.4,73.7,1.55,3.1,50.0,0.52,1.38,3.28,1.21,0.34,4.66,42.6,33.8,8.79,0.0,0.17,,0.0,2.07,0.0,0.0,0.0,0.0,,,,,,,8.79,,32.9,0.0,,,1.38,2.93,2.24,0.0,0.17,0.0,0.52,0.0,1.03,0.86,0.0,0.0,0.0,0.17,0.0,1.03,0.52,0.34,0.69,0.0,0.34,0.86,40.0,0.52,,,,,,,1.38,0.0,,1.38,0.34,1.38,1.21,0.0,55.3,1.38,13.1,25.2,17.9,2.76,55.3,,,,,,30.7,174.8,101.4,3.45,1.72,0.86,2.24,1.21,,31.9,,5.0,0.34,0.0,0.0,2.41,2.59,0.17,2.07,0.52,0.17,0.0,0.0,7.41,0.34,0.34,50.0,2022-11-11,10000000.0,3.28,0.86,26.3,1.38,42.1
2331,Adama Soumaoro,FRA,DF,Bologna,Serie A,30.0,1992,15,14,1232,13.7,0.0,0.15,0.07,50.0,0.0,0.0,8.8,0.0,0.0,0.0,42.3,46.2,91.5,793.3,274.7,15.0,15.9,94.5,23.6,25.1,94.2,3.14,3.87,81.1,0.0,0.07,1.39,0.07,0.0,2.12,46.2,43.4,2.34,2.26,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.07,,42.3,0.44,,,0.29,0.44,0.44,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,1.09,0.66,0.44,0.51,0.15,0.15,0.22,66.7,0.07,,,,,,,0.73,0.51,,0.22,1.02,2.12,3.65,0.07,53.9,6.57,28.9,23.6,1.46,0.51,53.9,,,,,,30.4,163.2,82.0,0.44,0.22,0.0,0.36,0.0,,35.0,,0.07,0.36,0.07,0.07,1.17,0.51,0.0,0.0,0.66,0.0,0.0,0.0,4.16,1.46,0.73,66.7,2022-11-11,3500000.0,0.15,0.15,100.0,0.0,0.0
