Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,CK,CkIn,CkOut,CkStr,TI,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,date,Valuation
1746,Farid El Melali,ALG,FW,Angers,Ligue 1,24.0,1997,2,0,14,0.2,0.0,5.0,0.0,0.0,0.0,0.0,24.8,0.0,0.0,0.0,10.0,25.0,40.0,180.0,0.0,5.0,5.0,100.0,5.0,5.0,100.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,45.0,0.0,10.0,10.0,35.0,5.0,40.0,25.0,125.0,0.0,5.0,0.0,5.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,5.0,0.0,100.0,2022-03-24,1000000.0
1782,Sven Michel,GER,FW,Union Berlin,Bundesliga,31.0,1990,13,2,338,3.8,0.79,2.37,0.79,33.3,0.33,1.0,16.2,0.0,0.0,0.0,21.8,32.6,66.9,321.1,65.8,11.3,14.2,79.6,5.26,9.74,54.1,2.89,4.21,68.8,0.26,1.84,0.79,0.79,0.53,2.11,32.6,30.8,1.84,0.26,0.0,0.53,2.11,0.0,0.0,0.0,0.0,0.53,21.8,0.0,1.32,3.68,2.89,0.0,0.26,0.26,0.0,0.26,1.05,0.53,0.0,0.0,0.26,0.0,0.26,2.89,1.84,1.05,1.32,0.53,0.53,2.11,25.0,1.58,2.11,0.0,2.11,0.26,3.16,0.0,0.0,51.1,0.0,3.68,18.4,30.3,5.79,49.2,28.7,116.3,61.6,3.95,0.26,1.05,3.42,3.42,35.0,12.4,0.53,0.0,0.0,3.68,1.05,0.79,2.11,1.84,0.0,0.0,0.0,7.63,4.47,7.11,38.6,2022-03-24,1200000.0
1788,Georges Mikautadze,GEO,FW,Metz,Ligue 1,21.0,2000,1,0,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,17.0,12.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-12,2200000.0
1791,Arkadiusz Milik,POL,FW,Marseille,Ligue 1,28.0,1994,23,15,1416,15.7,0.45,3.38,1.21,35.8,0.11,0.32,13.2,0.13,0.06,0.06,19.7,24.4,80.7,294.5,33.0,10.9,12.9,84.7,5.86,6.94,84.4,1.27,1.59,80.0,0.13,1.15,1.08,0.76,0.0,1.27,24.4,22.4,2.04,0.0,0.19,0.7,0.19,0.0,0.0,0.0,0.0,0.38,19.7,0.06,1.02,1.78,1.53,0.0,0.0,0.06,0.06,0.13,0.38,0.38,0.0,0.0,0.0,0.0,0.0,0.64,0.32,0.0,0.45,0.19,0.32,0.96,33.3,0.64,0.7,0.13,0.57,0.25,0.89,0.7,0.0,34.2,0.76,1.66,15.5,18.2,6.11,32.0,19.2,78.0,35.0,1.66,0.64,0.45,1.97,1.15,25.9,8.98,0.06,0.0,0.0,1.34,0.89,0.51,0.19,0.32,0.0,0.0,0.0,2.93,2.1,1.78,54.1,2022-05-30,16000000.0
1800,Santi Mina,ESP,FW,Celta Vigo,La Liga,26.0,1995,33,30,2367,26.3,0.27,2.24,0.8,35.6,0.12,0.33,14.4,0.04,0.0,0.04,17.3,25.6,67.6,257.4,44.1,10.0,14.2,70.8,4.41,6.58,67.1,1.63,2.55,64.2,0.11,0.61,1.29,0.42,0.0,1.41,25.6,24.9,0.72,0.0,0.0,0.72,0.46,0.0,0.0,0.0,0.0,0.38,17.3,0.23,0.87,1.63,1.22,0.0,0.08,0.11,0.15,0.08,0.27,0.23,0.0,0.0,0.04,0.0,0.0,1.18,0.8,0.11,0.76,0.3,0.08,1.37,5.6,1.29,1.37,0.11,1.25,0.57,1.75,0.87,0.0,38.7,0.91,4.07,21.6,14.8,4.26,38.0,19.7,78.4,39.8,2.17,0.76,0.46,3.65,1.44,27.6,5.89,0.15,0.0,0.0,2.13,1.86,0.38,0.46,0.8,0.08,0.0,0.0,5.17,5.36,6.77,44.2,2021-12-30,15000000.0
1805,Rafa Mir,ESP,FW,Sevilla,La Liga,24.0,1997,34,18,1808,20.1,0.5,3.03,1.09,36.1,0.16,0.45,12.3,0.0,0.0,0.0,12.0,17.5,68.8,194.3,20.0,6.17,8.11,76.1,4.83,6.82,70.8,0.7,1.29,53.8,0.0,0.45,0.6,0.35,0.05,0.85,17.5,15.6,1.94,0.05,0.0,0.1,0.45,0.0,0.0,0.0,0.0,0.05,12.0,0.0,0.6,1.54,0.9,0.0,0.2,0.25,0.2,0.0,0.25,0.15,0.0,0.0,0.1,0.0,0.0,0.35,0.35,0.05,0.15,0.15,0.0,0.4,0.0,0.4,0.4,0.15,0.25,0.2,0.55,0.85,0.0,28.5,1.0,3.08,14.8,11.9,4.28,26.6,14.4,76.8,34.2,1.24,0.55,0.5,3.38,1.39,20.2,4.68,0.3,0.0,0.0,1.64,1.04,1.14,0.45,0.35,0.0,0.0,0.0,3.53,3.53,3.43,50.7,2021-12-30,16000000.0
1815,Anthony Modeste,FRA,FW,Köln,Bundesliga,34.0,1988,32,31,2606,29.0,0.69,3.69,1.48,40.2,0.18,0.44,11.5,0.0,0.03,0.03,10.1,15.3,65.6,162.6,21.8,5.03,6.97,72.3,3.66,5.41,67.5,0.76,1.48,51.2,0.14,0.48,0.55,0.24,0.07,0.79,15.3,14.2,1.1,0.0,0.0,0.34,0.41,0.0,0.0,0.0,0.0,0.03,10.1,0.0,0.76,1.34,0.83,0.0,0.03,0.31,0.17,0.0,0.17,0.03,0.0,0.03,0.07,0.03,0.0,0.41,0.21,0.1,0.21,0.1,0.17,0.79,21.7,0.62,0.41,0.07,0.34,0.21,0.62,1.24,0.0,26.3,1.28,2.45,12.1,12.6,5.28,25.2,13.6,33.4,13.1,0.93,0.38,0.28,2.48,1.14,19.4,5.66,0.14,0.0,0.0,1.41,1.31,1.21,0.41,0.21,0.03,0.0,0.0,2.9,3.76,3.0,55.6,2022-03-24,3000000.0
1818,Terem Moffi,NGA,FW,Lorient,Ligue 1,23.0,1999,37,34,2711,30.1,0.27,1.93,0.66,34.5,0.1,0.3,15.1,0.0,0.07,0.07,14.1,18.9,74.5,211.6,42.6,8.5,10.3,82.6,3.52,5.05,69.7,1.26,1.93,65.5,0.13,1.13,1.0,0.56,0.13,1.33,18.9,17.6,1.23,0.0,0.13,0.37,0.5,0.0,0.0,0.0,0.0,0.07,14.1,0.03,0.66,2.23,1.56,0.03,0.33,0.03,0.17,0.1,0.33,0.17,0.0,0.1,0.0,0.03,0.03,0.73,0.47,0.13,0.33,0.27,0.23,0.7,33.3,0.47,0.73,0.13,0.6,0.33,1.06,0.8,0.0,30.3,1.03,2.69,15.7,14.1,4.75,29.0,19.9,90.1,59.6,2.99,1.06,0.9,3.19,1.69,21.7,6.21,0.03,0.0,0.0,0.93,0.73,0.5,0.5,0.47,0.03,0.0,0.0,3.69,1.96,3.36,36.9,2022-05-30,9000000.0
1823,Jorge Molina,ESP,FW,Granada,La Liga,40.0,1982,35,19,1966,21.8,0.46,2.06,1.01,48.9,0.22,0.45,13.1,0.0,0.0,0.05,15.8,24.4,64.7,233.7,62.3,9.31,13.0,71.5,5.05,7.75,65.1,0.96,1.83,52.5,0.23,1.28,1.51,0.46,0.05,2.06,24.4,23.7,0.73,0.0,0.14,0.41,0.46,0.05,0.0,0.0,0.0,0.14,15.8,0.09,1.19,2.29,1.79,0.0,0.14,0.14,0.23,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.46,0.28,0.09,0.14,0.23,0.05,0.55,8.3,0.5,0.69,0.18,0.5,0.28,0.73,0.55,0.0,34.1,0.83,2.66,16.8,16.0,4.82,33.3,17.6,61.7,29.4,1.79,0.41,0.28,1.79,1.42,26.6,6.06,0.09,0.0,0.0,1.1,2.02,0.55,0.46,0.28,0.0,0.0,0.0,3.67,4.95,5.73,46.4,2021-12-30,1000000.0
1834,Wesley Moraes,BRA,FW,Aston Villa,Premier League,25.0,1996,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,19.0,10.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,50.0,2022-04-06,6000000.0
1841,Gerard Moreno,ESP,FW,Villarreal,La Liga,30.0,1992,17,14,1191,13.2,0.68,2.73,0.98,36.1,0.22,0.62,14.1,0.0,0.08,0.15,24.5,35.8,68.4,461.5,128.6,11.3,14.8,76.4,8.71,12.2,71.4,3.94,5.91,66.7,0.23,2.2,2.88,1.89,0.3,4.47,35.8,35.0,0.76,0.0,0.38,0.98,0.98,0.0,0.0,0.0,0.0,0.38,24.5,0.23,2.5,3.71,2.95,0.0,0.38,0.08,0.15,0.15,0.45,0.3,0.0,0.0,0.0,0.08,0.08,0.53,0.3,0.23,0.23,0.08,0.15,0.53,28.6,0.38,0.68,0.08,0.61,0.53,1.06,0.98,0.0,48.3,1.21,3.86,24.5,22.9,6.21,47.4,37.6,164.8,76.2,4.92,1.67,0.76,2.05,2.2,40.3,8.33,0.15,0.0,0.0,1.06,1.52,0.61,0.98,0.3,0.08,0.0,0.0,3.71,2.27,1.89,54.5,2021-12-30,40000000.0
1852,Lebo Mothiba,RSA,FW,Strasbourg,Ligue 1,26.0,1996,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-05-30,2000000.0
1856,Youssoufa Moukoko,GER,FW,Dortmund,Bundesliga,17.0,2004,16,1,223,2.5,0.8,3.2,1.2,37.5,0.25,0.67,14.0,0.0,0.0,0.0,14.4,17.2,83.7,220.4,26.0,6.4,7.6,84.2,5.2,5.6,92.9,1.2,1.6,75.0,0.0,0.8,1.2,0.0,0.0,0.8,17.2,15.6,1.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,14.4,0.0,0.4,2.4,1.6,0.0,0.4,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,0.0,0.4,0.0,0.0,0.8,0.0,0.8,2.8,0.0,2.8,0.0,0.4,0.4,0.0,34.0,0.8,2.0,17.2,17.2,5.6,32.4,20.8,66.8,28.8,2.0,0.0,0.4,3.6,2.8,20.8,7.6,0.4,0.0,0.0,2.4,1.6,2.0,0.4,0.4,0.0,0.0,0.0,6.8,0.8,2.8,22.2,2021-12-22,15000000.0
1875,Luis Muriel,COL,FW,Atalanta,Serie A,31.0,1991,27,17,1539,17.1,0.53,3.22,0.94,29.1,0.13,0.44,18.5,0.29,0.12,0.12,32.8,45.0,73.0,547.7,157.1,16.3,19.9,81.8,10.0,14.0,71.5,4.09,7.13,57.4,0.47,3.51,1.99,2.22,0.47,4.09,45.0,39.0,5.96,1.17,0.23,1.99,1.87,3.22,1.35,1.05,0.23,0.41,32.8,0.18,1.23,5.85,3.22,1.52,0.58,0.29,0.23,0.0,0.88,0.64,0.06,0.18,0.0,0.0,0.0,1.05,0.41,0.12,0.41,0.53,0.41,1.17,35.0,0.76,0.88,0.06,0.82,0.53,1.58,0.29,0.0,60.9,0.29,2.98,24.2,38.2,8.01,55.1,45.0,214.1,115.0,7.08,2.05,1.93,3.16,3.27,45.7,13.1,0.06,0.0,0.0,0.94,1.7,0.41,1.87,0.41,0.0,0.0,0.0,5.79,1.93,2.22,46.5,2021-12-28,22000000.0
1877,Vedat Muriqi,KVX,FW,Lazio,Serie A,28.0,1994,11,1,215,2.4,0.0,1.67,0.83,50.0,0.0,0.0,14.7,0.0,0.0,0.0,19.2,28.8,66.7,335.0,27.1,7.08,10.0,70.8,10.4,17.1,61.0,1.25,1.25,100.0,0.0,0.0,0.42,0.83,0.0,0.83,28.8,27.1,1.67,0.0,0.42,0.0,0.42,0.0,0.0,0.0,0.0,0.0,19.2,0.0,1.25,2.08,1.25,0.0,0.0,0.0,0.83,0.0,0.42,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.0,0.42,0.0,0.0,0.0,1.25,0.0,1.25,0.83,0.0,0.83,0.42,0.83,0.42,0.0,42.9,0.42,5.42,18.3,20.0,4.17,41.3,24.2,92.9,12.9,0.83,0.42,0.0,3.33,1.67,35.4,12.9,0.42,0.0,0.0,2.5,3.75,0.42,0.42,0.0,0.42,0.0,0.0,2.92,5.42,7.5,41.9,2021-12-28,6000000.0
